Abstract,Label
"Intercellular bridges connect cells within tissues and organs across the animal kingdom, where they play important roles in cell-cell communication and coordination. Some of the most well-studied intercellular bridges are the ring canals that connect germline cells within the developing Drosophila egg chamber. The genetic, imaging, and biochemical tools available within this model system have generated a wealth of information about the proteins, pathways, and structures that regulate ring canal formation, stability, and expansion. In this review, we describe the important contributions that have been made to our understanding of ring canal biology, with an emphasis on the mechanisms that promote ring canal expansion. We describe accessible and reliable tools available to study these structures as well as ways in which more modern genetic, imaging, biochemical, and bioinformatics-based approaches could be applied to the study of ring canals within the egg chamber or in other tissues or organisms.",bioinformatics
"Rheumatoid arthritis (RA) is a chronic autoimmune disease characterized by synovial hyperplasia and multi-organ damage. While existing therapies alleviate symptoms, they are accompanied by significant adverse effects. Fibroblast-like synoviocytes (FLS) drive RA progression through inflammation-coagulation interactions, necessitating safer multitarget drugs. Jianpi Wenyang Tongluo Prescription-Wuwei Wentong Chubi Capsule (WWT), a traditional Chinese medicine formula targeting the ""cold-dampness obstruction syndrome"" in RA, has demonstrated clinical efficacy, yet its mechanism remains unclear. To investigate the therapeutic effects of WWT on adjuvant-induced arthritis (AA) rats with cold-dampness syndrome and explore its underlying mechanisms in regulating inflammation-coagulation balance and organ protection. AA rats with cold-dampness syndrome were established using Freund's complete adjuvant (FCA) and a climate chamber, and treated with WWT (low/medium/high doses). Synovial pathology, organ function, inflammatory, and coagulation parameters were evaluated. Molecular docking, protein-protein interaction (PPI) networks, and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analysis were employed to identify key targets, with Western blot (WB) and immunofluorescence used to validate JAK2/STAT3 pathway activation. A coculture model of peripheral blood mononuclear cells (PBMCs) and FLS from RA patients was constructed for in vitro validation. In AA rats, WWT dose-dependently decreased pro-inflammatory cytokines (IL-6, IL-17) and pro-coagulant factors (PAF, FDP), while increasing anti-inflammatory cytokine IL-10 and anticoagulant factor PGI2 (P < 0.01). WWT reversed synovial mitochondrial vacuolation and protected liver and kidney function. Bioinformatics analysis and molecular docking revealed JAK2/STAT3 as the core target, with wogonin and icariin stably binding to JAK2 (ΔG = -8.2/-7.7 kcal/mol) and STAT3 (ΔG = -7.9/-9.9 kcal/mol). WWT rescued inflammation and hypercoagulation induced by the JAK2/STAT3 activator coumermycin A1. In vitro, WWT-containing serum inhibited the proliferation of cocultured RA-PBMCs and FLS and the secretion of pro-inflammatory and pro-coagulant factors by blocking JAK2/STAT3 and STAT3 nuclear translocation. WWT alleviates RA progression by restoring inflammation-coagulation balance and protecting multi-organ function through inhibition of the JAK2/STAT3 pathway. This study integrates traditional Chinese medicine theory with molecular pathological mechanisms, providing a scientific basis for WWT as a multitarget therapeutic for RA.",bioinformatics
"Auxin response factors (ARFs) are crucial transcriptional regulators involved in the auxin pathway that control auxin-induced gene transcription during plant growth and development. This study identified 18 FvARF genes distributed disproportionately across seven chromosomes and classified into five distinct phylogenetic clades. All the FvARF proteins contained the conserved B3 and Auxin_resp domains, and 11 of them possessed the Aux/IAA domain. Further bioinformatics analysis revealed their consistency and differentiation in their sequence characteristics. Cis-element analysis predicted that FvARF1a, FvARF2, FvARF9, FvARF16b, FvARF16c, and FvARF19a promoters contained auxin-responsive elements. Transcriptome data revealed that expression levels of several FvARF genes-FvARF2, FvARF4, FvARF6a, and FvARF8-were higher in the pith and cortex of early-stage strawberry fruit. qRT-PCR indicated the elevated expression of FvARF2 at stage 3 (6-7 days post-anthesis [DPA]). Additionally, the FvARF2 gene responded to exogenous auxin. The function of FvARF2 in early strawberry fruit development was confirmed through transient transformation assays. Collectively, these results provide a comprehensive characterisation of ARF gene family members in strawberry, with functional evidence implicating FvARF2 in regulating early-stage fruit development.",bioinformatics
"This study employs bioinformatics analysis with the objective of identifying commonly differentially expressed genes (DEGs) in ulcerative colitis (UC) and rheumatoid arthritis (RA), as well as exploring their underlying molecular mechanisms. By doing so, it aims to provide a theoretical basis for investigating the potential associations between these two diseases and developing novel therapeutic strategies. We downloaded multiple gene expression datasets for Rheumatoid Arthritis (RA) and Ulcerative Colitis (UC) from the Gene Expression Omnibus (GEO) database. For RA, GSE77298, GSE12021, and GSE55457 were selected as the training sets, with GSE89408 serving as the validation set. For UC, GSE36807, GSE87473, and GSE92415 were chosen as the training sets, and GSE13367 as the validation set.During data processing, we first merged the RA and UC data from each training set with standardized data, eliminated batch effects, and obtained combined datasets of differentially expressed genes (DEGs). Subsequently, we conducted a cross-analysis of the DEGs from RA and UC to identify commonly up-regulated and down-regulated genes. To gain a deeper understanding of these DEGs, we constructed a protein-protein interaction (PPI) network and identified hub genes.For further analysis of these hub genes, we utilized the GENEMANIA platform to obtain functional annotations and interaction information. Finally, we validated our analysis results using the GSE89408 and GSE13367 datasets. After a thorough analysis of the differentially expressed genes in the cells of patients with rheumatoid arthritis (RA) and ulcerative colitis (UC) we found that genes such as CCR7, CD19, CXCL13, CXCR4, and SELL were significantly up-regulated, suggesting their crucial roles in the pathology of both diseases. This discovery not only underscores the importance of these genes as biomarkers for the differential diagnosis of RA and UC, but also highlights key nodes worthy of further validation. In the future, it may be possible to slow or halt disease progression by modulating the expression of these genes. The results of this study reveal potential common molecular mechanisms underlying rheumatoid arthritis (RA) and ulcerative colitis (UC). The key target genes CCR7, CD19, CXCL13, CXCR4, and SELL highlight common underlying factors associated with both diseases. Further investigation and exploration of these findings can pave the way for new candidate targets and directions in therapeutic research aimed at treating RA and UC. This study emphasizes the importance of utilizing bioinformatics approaches to uncover the mechanisms of complex diseases, providing a promising pathway for the development of more effective and targeted treatments.",bioinformatics
"The family Geminiviridae comprises 15 genera and over 500 species of diverse plant-infecting viruses. Previous studies on this virus's diversity primarily focused on the members' selection without considering the entire genomic divergence. This study presents comprehensive comparative genomic analyses and a global distribution map using 17,718 complete genomes and 28,185 geminivirus-associated metadata records. Intergeneric pairwise identity among monopartite and Begomovirus DNA-A is ≥ 40%, while interspecies identity among Begomovirus DNA-B is ≥ 41%, corresponding to genetic variations of ≤60% and ≤59%, respectively. Begomovirus and Mastrevirus are the only genera detected across all continents, with Asia exhibiting the highest genus diversity (11 genera). However, in Africa, geminiviruses from six genera are more broadly distributed across individual countries. To our knowledge, this is the first geographical map constructed using all genera from the Geminiviridae family. Phylogenetic reconstructions of complete genomes, coat proteins, and replication-associated proteins (Rep) underscored distinct clustering patterns consistent with genus-level classification but revealed exceptions, including misclassified viral species and potential new taxa. Notably, French bean severe leaf curl virus with accession KC699544 was reclassified from Capulavirus to Begomovirus with the proposed name Corchorus yellow vein mosaic virus. Additionally, two unclassified begomovirus-like viruses, named ""begomovirus spathoglottis 1"" and ""2,"" are proposed for reclassification within Maldovirus under the tentative names ""maldovirus spathoglottis 1"" and ""2."" The Begomovirus Rep showed phylogenetic affinity with Rep from Maldovirus, Curtovirus, Turncurtovirus, and Topocuvirus, supporting potential evolutionary relationships among these genera. Recombination analyses confirmed high-frequency interspecies and intergeneric recombination events, predominantly involving Begomovirus, underscoring its pivotal role in geminivirus evolution. Furthermore, we hypothesized specific vector transmission: Opunvirus, Welwivirus, and Topilevirus are transmitted via treehopper species, whereas Citlodavirus and Eragrovirus are transmitted via leafhopper species. Accurate identification and classification of plant viruses and their transmission vectors are essential for developing effective surveillance and management strategies to safeguard global agriculture.",bioinformatics
"Foodborne diseases impact 600 million people annually, causing 420 000 deaths and over $110 billion in economic losses. Conventional pathogen detection methods take 3-7 days and lack sensitivity for low-abundance pathogens and antimicrobial resistance (AMR) genes. This review evaluates nanopore sequencing's potential in food microbiology, analyzing real-time pathogen detection, AMR surveillance, and performance",bioinformatics
"Chronic non-viral liver diseases (CNVLD), including alcohol-related liver disease (ALD) and metabolic dysfunction-associated steatotic liver disease (MASLD), have increased in prevalence, surpassing viral hepatitis as the main cause of hepatocellular carcinoma (HCC) in the last decade; thus, the identification of bloodstream biomarkers is essential for early diagnosis, risk stratification, and monitoring progression. This study aimed to systematically integrate and compare proteomic evidence from blood-based studies to identify differentially expressed proteins (DEPs) associated with ALD, MASLD, and HCC of non-viral etiology, to prioritize them as candidates for shared biomarkers and diagnostics for each disease. A systematic review was conducted, followed by a qualitative meta-analysis to identify DEPs bloodstream biomarkers. Biomarkers were compared across diseases to detect overlaps. Functional enrichment, network, and topological analyses were used to evaluate their biological relevance. We identified 16 diagnostic biomarkers for ALD, 53 for MASLD, and 8 for HCC. Four biomarkers were shared among ALD and MASLD, two among ALD and HCC, and two among MASLD and HCC. Functional analyses indicated platelet dysfunction and coagulation pathway alterations in ALD; lipid metabolism dysregulation in MASLD; and a combination of these processes in HCC patients. Network analysis highlighted key biomarkers with potential diagnostic and prognostic applications. The identified biomarkers reflect both shared and disease-specific molecular mechanisms in the progression of CNVLD toward HCC. Their consistent presence across independent studies supports their potential integration into diagnostic and prognostic panels, particularly in the context of the rising prevalence of ALD and MASLD worldwide.",bioinformatics
"Acute myeloid leukemia (AML) is a devastating hematological malignancy without a definitive cure. 6-Gingerol, a bioactive compound, has shown promise in treating various cancers, yet its impact on AML remains elusive. Cell growth and clonogenic capacity were assessed using CCK-8 testing and colony formation assays. Flow cytometry was employed to analyze cell cycle progression and apoptosis. The invasive capability of AML cells was evaluated through the Transwell migration assay. Fluorescent probe staining was used to determine intracellular reactive oxygen species (ROS) concentration, while Western blot was utilized to assess the expression levels of key proteins including Bcl-2, caspase3, MAPK, and p-MAPK in AML cells. Potential targets of 6-gingerol in AML were identified through bioinformatics databases (STP, SEA, STICH, OMIM GeneMap, GeneCards). GO and KEGG enrichment analysis was performed using clusterProfiler (v4.16.0). 6-Gingerol inhibited proliferation, colony formation, and invasive capacity of AML cells and induced G1 cell-cycle arrest. 6-Gingerol increased ROS and elevated caspase 3, MAPK, and p-MAPK levels. Sixty-seven overlapping targets between 6-gingerol and AML were identified and enriched in MAPK signaling and ROS-related pathways. NFKB1 emerged as a pivotal hub gene. 6-Gingerol may represent a promising Traditional Chinese Medicine-derived agent for AML treatment.",bioinformatics
"Cholangiocarcinoma (CCA) is an aggressive malignancy with poor prognosis and a limited number of treatments is available. Disulfidptosis, a newly identified form of cell death triggered by disulfide bond accumulation during glucose deprivation, may influence cancer progression but its role in CCA is poorly understood. The present study investigated disulfidptosis‑related genes (DRGs) and their impact on CCA prognosis and immune modulation. Differential expression analysis of 100 DRGs using RNA sequencing data from The Cancer Genome Atlas and EMBL‑EBI identified 74 dysregulated genes in CCA. Unsupervised clustering stratified patients with CCA into two distinct subtypes (Subs): i) SubA; and ii) SubB. A four‑gene prognostic signature was developed using least absolute shrinkage and selection operator regression and validated via Kaplan‑Meier survival analysis and receiver operating characteristic curves. Immune infiltration and tumor microenvironment were evaluated using Cell‑type Identification by Estimating Relative Subsets of RNA Transcripts, Estimation of Stromal and Immune cells in Malignant Tumor tissues using Expression data and single‑sample Gene Set Enrichment Analysis. Functional assays, including small interfering RNA knockdown of",bioinformatics
"Protein tyrosine phosphatase non‑receptor 18 (PTPN18) is widely expressed in breast cancer (BC) cell lines. Additionally, high levels of PTPN18 facilitate an improved overall survival and prognosis in patients with BC. However, the effects and mechanisms of PTPN18 in BC remain unclear. In the present study, it was found that PTPN18 serves a tumor suppressor role in BC cells by promoting apoptosis, inhibiting proliferation and metastasis and inducing cell cycle arrest. Bioinformatics analysis showed that PTPN18 was significantly negatively correlated with the cell cycle and downregulated cyclin E expression, which was consistent with the experimental results. Subsequent co‑immunoprecipitation assay results showed that PTPN18 could bind to cyclin E and promote its degradation through the ubiquitin‑proteasome pathway. Moreover, the addition of cyclin E2 did not reduce the binding of PTPN18 to cyclin E1. In the present study, the signaling pathways involved in cell cycle regulation were further investigated and it was found that PTPN18 may regulate the expression levels of cyclin‑dependent kinase (CDK) inhibitor 1A and CDK inhibitor 1B proteins through phosphatidylinositol 3‑kinase/protein kinase B signaling pathway, which leads to cell cycle arrest and tumor inhibition in BC. Thus, analysis of the tumor suppressor mechanism of PTPN18 not only helps us to understand its biological function but also provides a theoretical basis for the development of new therapeutic strategies for BC.",bioinformatics
"Lung cancer is one of the leading malignant cancers in the world with high incidence and mortality and lung adenocarcinoma (LUAD) is its major histologic subtype. Molecular biomarkers that hold prognostic value and therapeutic implication are required to evaluate disease development and enhance the survival outcomes of cancer patients. The current study performed bioinformatics analysis via various online datasets and immunohistochemistry to examine the expression status of the zinc-fingers and homeoboxes (ZHX) family members as well as their prognostic implications in lung cancer as well as in its subtypes. We observed that high mRNA levels of ZHX factors indicated favorable overall survival in patients with lung cancer. Subgroup analysis demonstrated notable associations between the expression levels of ZHX family members and survival outcomes in select patient cohorts. Immunohistochemistry confirmed that low ZHX3 protein expression had stronger correlation with malignant properties and unfavorable OS in LUAD patients. Multivariate analysis revealed that ZHX3 expression was as an independent predictor for prognosis. Thus, we supposed that ZHX3 might be a potential survival biomarker in outcome prediction for LUAD.",bioinformatics
