Abstract,Label
"With the growing challenge of microplastics (MPs) pollution, long-term real-time monitoring of MPs distribution remained difficult. Using nationwide field data and machine learning, we investigated MPs abundance and size distribution across China, key drivers, and future trends of MPs under multi-scenarios: sustainable development scenarios (SDSs), business-as-usual scenario (BAU), and high-forcing scenarios (HFSs). Results indicated that the average abundance of MPs in agricultural soils was 2,176 items/kg in 2020, with most particles smaller than 1 mm. The history of mulching film use (HistMF) was identified as the dominant factor influencing both MPs abundance and size, while climate variables such as radiation, temperature, and humidity further intensified fragmentation. Without intervention, MPs could exceed 10,000 items/kg by 2050 under the HFS. This research highlighted the need to strengthen mulching film production and plastic waste management in farmlands, particularly in regions with extreme climatic conditions, and provided scientific support for MPs control.",environmental science
"Carbon-inclusive policies that modify daily activities are crucial for reducing emissions. The Credit Charge-cum-Rebate (CCR) scheme is a promising approach to encouraging pro-environmental behavior, balancing fiscal and emission performance. However, it remains theoretically underexplored. To address this, an experimental study with 270 participants was conducted. A validation experiment identifies significant theory-practice deviations, particularly in the low-credit group, which jeopardizes fiscal sustainability. Three non-financial interventions are tested, with low-credit feedback using downward social comparison proving most effective at improving fiscal outcomes. A Beijing-based case study illustrates potential savings of billions of yuan over six years. The study recommends that policymakers implement targeted interventions such as downward comparisons for penalized low-credit users, and integrate non-financial tools more widely.",environmental science
"Taxonomic classification plays a crucial role in understanding the diversity and evolutionary relationships among bacteria. Accurately classifying bacterial DNA sequences based on a limited 500-bp segment remains challenging. This paper presents an improved Fuzzy-weighted Convolutional Neural Network (F-CNN) for taxonomic classification of bacterial DNA sequences, specifically focusing on the 500-bp segments. The proposed model aims to overcome the limitations of traditional classification methods by leveraging the power of deep learning and fuzzy logic processing. The improved fuzzy deep learning model is proposed to handle the problem of classifying samples with similar probabilities in the classification layer. It incorporates a feature selection stage using various techniques and a fuzzy weighting system to handle the uncertainty associated with similar classes in the classification layer and optimize parameters using fuzzy weights. The experimental results on the Ribosomal Database Project Release 11 (RDP 11) sequences dataset show the superiority of the proposed model, especially at the 500-bp region. Experimental results on the RDP 11 dataset, which includes over 1.4 million bacterial gene sequences, demonstrate the superior performance of the proposed model, achieving a classification accuracy up to 84.03% at the genus level for 500-bp segments and demonstrating high generalization when applied to longer sequences. This paper has significant implications for various fields, including microbiology, epidemiology, and environmental science, where accurate classification of bacteria is crucial for understanding their roles in different ecosystems and disease outbreaks.",environmental science
"Indole and its derivatives, as widely prevalent nitrogen-containing heterocyclic compounds, play a complex dual role in environmental systems. Based on a comprehensive review of literature from 2017 to 2025, this work summarizes the metabolic mechanisms, functional properties, and ecological effects of indole and its derivatives, establishing an interdisciplinary framework for understanding their environmental behavior and applications. Significant potential is highlighted in environmental remediation, particularly in enhancing plant-based phytoremediation of heavy metals. These compounds also show promise in the development of novel indole-based materials for efficient adsorption, pollutant degradation, and CO",environmental science
"Air pollution, a major global health and environmental threat, necessitates accurate forecasting to support timely interventions and policy-making. Data-driven approaches, increasingly powered by artificial intelligence (AI), have gained traction in air quality prediction, leveraging their capacity to model complex, nonlinear patterns in environmental data. Deep learning models, such as Long Short-Term Memory (LSTM) networks, excel at capturing temporal dependencies but are hindered by their discrete-time framework, overlooking the continuous dynamics of air pollution driven by physical and chemical processes. This limitation compromises their performance, especially with irregular or sparse observations. Neural Ordinary Differential Equations (Neural ODEs), introduced in 2018, offer a continuous-time modeling paradigm by parameterizing derivatives with neural networks, yet their application to environmental sciences remains underexplored, with many implementations retaining single-scale latent dynamics and lacking calibrated uncertainty estimates. Here, we present a novel Multi-timescale Attention Neural ODE (MA-NODE) framework for multi-step air pollution forecasting, marking one of the first such efforts to our knowledge. Its continuous-time formulation reduces multi-step discretization error and natively accommodates irregular sampling, addressing key limitations of discrete-time deep models. Our model decomposes latent dynamics into fast, medium, and slow timescales, reflecting diverse temporal behaviors, and integrates an attention mechanism to enhance feature synthesis. Evaluated on real-world datasets encompassing PM2.5, O3, NO2, SO2, CO, and PM10, it achieves an R² exceeding 0.9 for three-step-ahead predictions, outperforming traditional and state-of-the-art methods, with 10-15% lower MAE/RMSE and well-calibrated 95% interval coverage (≈ 0.90). This work advances air quality forecasting by harnessing Neural ODEs' continuous modeling capabilities, while operating directly on station observations without gridded meteorology, offering a robust tool for environmental management. By bridging computational innovation with ecological needs, it paves the way for broader Neural ODE applications in environmental science, strengthening public health and sustainability efforts.",environmental science
"Crimean-Congo hemorrhagic fever (CCHF) is currently implicated as a public health threat in Iraq. This perspective study explored the increasing rate of CCHF cases during the COVID-19 pandemic, as well as climate change and human-animal conflict during festivities. CCHF mainly spreads through contact with infected humans/animals and by",environmental science
"Meta-analysis is commonly a core component of systematic reviews and has become an important method to reconcile conflicting findings, increase statistical power, and chart new research directions. However, poor reporting practices make it challenging to evaluate the validity of meta-analyses. Despite the existence of reporting checklists, a specifically designed tool has yet to be developed to appraise the completeness with which a meta-analysis has been reported. To bridge this gap, we introduce the Meta-analysis Appraisal Tool for Environmental Sciences (MATES). To develop MATES, we adapted a Delphi process involving experts in meta-analysis methodologies, researchers with experience in guideline/appraisal tool development, and editors of relevant journals. The Delphi process had five steps, including three workshops (11-16 participants), a survey (193 participants), and a validation task (30 participants). This iterative development process resulted in a 14-item appraisal tool that reflects the environmental science and research syntheses community's consensus on essential elements to appraise the completeness with which a meta-analysis has been reported. Validation across 50 meta-analyses demonstrated that the tool is repeatable (average agreement rate: 88.97 %) and time-efficient to implement (17.00 ± 12.23 min). We also outline guidance for interpreting MATES results, describe its potential applications, and reflect on the development process. The authors provide practical implementation guidance for each MATES item, illustrated with real examples in the supplementary material. We also report an extended development methodology to support reproducibility. Finally, we built created a ShinyApp that includes both a training module and an application tool to enhance the usability of MATES (https://kylemorrisonisshiny99.shinyapps.io/MATES_shiny/). Overall, MATES provides authors, readers, stakeholders, and editors with a reliable and accessible tool for appraising the completeness with which a meta-analysis in environmental sciences has been reported.",environmental science
"With the large-scale deployment and continuous retirement of lithium-ion batteries (LIBs), the resource utilization of spent LIBs has become a research focus in the field of energy and environmental science. Traditional element recovery strategies contribute to resource conservation and environmental protection but are often constrained by complex procedures, high costs, and low product value, limiting their economic sustainability. Developing high-value regeneration pathways is therefore essential for the sustainable growth of the LIB recycling industry. The cathode materials of LIBs, rich in multivalent transition-metal oxides with abundant oxygen vacancies and redox activity, and the graphite anodes with high conductivity and structural defects, offer promising precursors for catalyst fabrication. Recycling these electrodes into functional materials for electrocatalysis and environmental catalysis provides an effective route for value-added utilization of spent LIBs. This review systematically analyzes the feasibility and recent progress in converting spent LIBs into catalysts, emphasizing their applications in electrocatalysis (OER, ORR, HER), organic pollutant degradation, and multifunctional catalytic systems. The major challenges are summarized, and future research directions are proposed, including the development of green, low-energy synthesis routes, controllable structural and interfacial design, and comprehensive life-cycle and techno-economic assessments. This work aims to provide an integrated understanding and theoretical reference for the high-value recycling of spent LIBs, promoting their deeper integration into green and sustainable development frameworks.",environmental science
"Anthropogenic activities, such as industrial processes, urban development, intensive agriculture and waste disposal, have significantly contributed to the continuous introduction and accumulation of a wide array of xenobiotic compounds into natural ecosystems. Among them, emerging contaminants (ECs) such as pharmaceuticals, endocrine-disrupting chemicals (EDCs), and per- and polyfluoroalkyl substances (PFAS) are of increasing concern due to their persistence, bioactivity and limited regulation. ECs enter ecosystems through diverse pathways including wastewater discharge, agricultural runoff and atmospheric deposition. Once released, many of these xenobiotics can bioaccumulate in organisms and enter the food chain, posing serious risks to food safety and public health. Traditional physico-chemical remediation methods are often insufficient or environmentally taxing, prompting a shift toward bio-based alternatives like bioremediation. These approaches, which rely on the activity of microbial communities to degrade pollutants, offer more sustainable solutions but require further interdisciplinary research to optimise their use. The One Health framework provides an effective model for addressing the complex risks posed by xenobiotics. This research programme aims to harmonise methodologies for cumulative dietary risk assessment across Europe and explore microbial strategies for xenobiotic degradation. By integrating microbiomics, toxicology, environmental science and food safety, this approach supports the development of safer food systems and more effective pollution management in line with the 'farm to fork' and One Health principles.",environmental science
"The hydrophobic force occurs widely in fields involving hydrophobic surfaces, such as biology, material science, mineral industry, health, environmental science, and technology. The mechanisms of energy evolution and force at hydrophobic interfaces remain unclear. Here, the hydrophobic interaction energy is regarded as the cohesive energy of the bulk minus the interaction energy between the interfacial water and the solid surface. To describe the decay of hydrophobic energy toward the bulk, interfacial water molecules are divided into multiple layers. Based on microstate number calculations, the number of newly generated water molecules with the same energy as bulk in each layer is obtained. It is thought that the outer layer attaches an equal amount of water molecules with the same energy as the bulk in the adjacent inner layer. Then, the hydrophobic energy decay from the solid surface to the bulk is calculated by the amount of water molecules and their energy. Through the Derjaguin approximation, the hydrophobic interaction force for interfaces with different hydrophobicities is obtained, representing the mutual attraction induced by the interfacial liquid. Using hydrogen-bond energy states and Boltzmann distribution, interfacial ligands are classified, and detailed configurations of interfacial water molecules are derived. The effects of hydrophobicity on the interfacial dielectric constant and refractive index are then determined to modify the Derjaguin-Landau-Verwey-Overbeek theory and electrostatic adsorption. Furthermore, the effect of the temperature on hydrophobic interactions is also theoretically derived. The experimental value is more consistent with the theoretical prediction under medium contact angles than in other research studies. At large contact angles, cavitation caused by weak liquid-solid interaction reduces short-range forces, while rough modified surfaces produce long-range hydrophobic force tails. Elevated temperature disrupts bulk cohesion, weakens hydrophobic interactions, and generates more low-coordinated water molecules. By adjusting the parameters, the theory can also be applied to hydrophobic forces between bubbles and particles, providing theoretical significance for hydrophobic interface studies.",environmental science
"Manganese oxide-modified biochar (MBC) has attracted much attention as a multifunctional environmental remediation material. This work systematically examines the remediation mechanisms of MBC and its applications in environmental pollution control, with a focus on its potential for adsorbing and immobilizing soil and water pollutants. We provide a detailed analysis of the relevant interfacial reaction processes, including charge interactions, surface coordination, redox reactions, and ion exchange, emphasizing their roles in pollutant remediation and degradation. In terms of environmental applications, this review summarizes the research progress on the utilization of MBC in the treatment of wastewater and contaminated soils, with a particular focus on its effectiveness in removing these pollutants. This work establishes a theoretical basis for the utilization of MBC as a highly efficient and sustainable adsorption material for environmental pollution control and provides a scientific reference for further research on its interfacial mechanisms and practical application.",environmental science
"Integrating ecosystem service (ES) supply-flow-demand relationships across multiple scales is crucial for effective ecological management. Using the Shanxi Yellow River Basin as a case study, we evaluated six ESs at the grid, watershed, and county scales in 2020. By applying redundancy analysis and extreme gradient boosting, we identified key drivers and simulated ES flows. Results show: (1) overall ES supply meets demand, with most ESs clustering in the northwest and southeast, while crop production dominates central lowlands; (2) supply-demand mismatches exhibit scale-dependent effects, showing fine-grained details at grid level but amplified heterogeneity at broader scales; (3) while main drivers (temperature, precipitation, population density, GDP) remain constant across scales, their influence intensity varies markedly; (4) ES flows display distinct directions, with recreation and crops moving urban-to-rural, while other ESs oppositely. This framework offers a transferable approach for watershed-scale sustainability planning in regions facing ecological-economic trade-offs.",environmental science
"The rapid expansion of built-up land has disrupted carbon dynamics, intensifying climate instability. Understanding how green and gray infrastructure patterns influence carbon emissions is crucial, yet most analyses either treat them separately or overlook local heterogeneity. This study adopts village-town clusters as minimum planning entities to explore how integrated green-grey infrastructure land cover patterns (IGGI-LCPs) affect net carbon emission intensity (NCEI). Using eight representative village-town clusters (74 villages) in Zhejiang Province, China, we developed an IGGI-LCP quantification system and a dual carbon accounting framework. GWR and MGWR show that dense gray infrastructure consistently increases emissions, while green coverage mitigates emissions only when forming large ecological cores. GDP density drives emissions, whereas population density shows indirect, context-specific effects. Threshold analysis shows NDGG ≤ -0.20 for carbon sinks, NDGG ≥ +0.20 for carbon sources, and -0.20 ≤ NDGG ≤ +0.20 indicates a balanced green-grey configuration. Findings emphasize adaptive and region-specific strategies to support low-carbon planning amid rural transformations.",environmental science
"Invasive pests threaten agriculture, yet risks from related non-invasive species are understudied. We constructed a framework integrating species distribution models (biomod2), niche analysis, and multivariate environmental similarity surface (MESS) to assess the invasion risk of",environmental science
"Cyclodextrins are amphiphilic macromolecular containers that are particularly valuable in applications ranging from biomedicine to environmental science. Despite years of development of computational techniques for cyclodextrin host-guest coordination, accurate modelling of these supramolecular systems remains challenging. In this work, an integrative computational technique is presented to solve this problem. The protocol integrates a force-field recalibration procedure, equilibrium enhanced sampling, nonequilibrium Hamiltonian switching, a work convolution algorithm, a series of finite-size corrections, and energy decomposition analysis. A large-scale survey of 222 CD host-guest systems is performed to demonstrate that the protocol enables the fast calculation of cyclodextrin host-guest binding strength without compromise in accuracy, an unbiased capture of cyclodextrin dynamics in the free CD, and the multi-modal behavior of the coordination patterns, and further the identification of the physicochemical driving force stabilizing host-guest complexes. Especially, the protocol consistently provides accurate results for various systems while conventional transferable force fields systematically fail for larger and more flexible 𝛾-CD. It thus opens new opportunities for high-throughput screening and rational design across diverse macrocyclic host families.",environmental science
"The Society of Environmental Toxicology and Chemistry (SETAC) is a global organization whose mission is the advancement of environmental science and management through collaboration, leadership, communication and education. On SETAC's 45th anniversary, the following question was raised: Are the 1979 founding principles of SETAC, multidisciplinary approaches to solving environmental problems, multisector engagement and scientific objectivity, still useful, adequate and effective in fulfilling its mission? In a special session held at the 45th Annual Meeting in Fort Worth, Texas, United States, a critical evaluation of the founding principles was initiated by reviewing SETAC's history and ongoing activities, and recommendations were made for the future. With few exceptions, participants appreciated SETAC's purposeful efforts to approach challenging environmental issues through multisector balance, an approach that is unique amongst scientific societies. We recognized that scientists have biases and views of what they find important, regardless of employing organization, and that objectivity is best served by being aware of these biases and views. SETAC's founding principles have stood the test of time and continue to provide a strong foundation for the Society's mission, and with a few suggested improvements, will continue to be instrumental in guiding environmental science, stewardship and policy into the future. The significance of SETAC's contribution of robust science grounded in reliable evidence and data was recognized as being especially crucial at this time of triple planetary crisis (climate change, pollution and biodiversity loss), compounded by rapid technological developments and geopolitical issues.",environmental science
"The development of advanced semiconductor-based catalysts for the rapid degradation of emerging pharmaceutical pollutants in water remains a critical challenge in environmental science. In this study, we present the synthesis, characterization, and catalytic performance of zinc oxide (ZnO) microtetrapods decorated with plasmonic Ag nanoparticles. These microtetrapods have been designed to enhance piezo-, photo-, and piezo-photocatalytic degradation of metronidazole (MNZ), a persistent antibiotic contaminant. ZnO microtetrapods were synthesized by high-temperature pyrolysis and using atmospheric-pressure microwave nitrogen plasma, followed by photochemical deposition of Ag nanoparticles at various precursor concentrations (0-1 mmol AgNO",environmental science
"Plant-based natural polymers are gaining attention as ecofriendly alternatives to synthetic materials with applications in food, biomedical, pharmaceutical, and environmental science. Tragacanth gum (TG), a natural exudate obtained from",environmental science
"""Green Endoscopy"" is now a worldwide movement that has captured the energy and imagination of the endoscopy community. It describes the effort to lessen the environmental impact of clinical practice by altering equipment, clinical pathways, and purchasing. While many suggestions or recommendations have been put forward, there is still much to be done in order to understand and regulate these attempts, to avoid unintended consequences and further environmental harm. This review highlights current thinking as well as fundamentals of environmental science and analysis, pertaining to our rapidly growing field.",environmental science
"Climate change and extreme weather events (EWEs) have an adverse impact on both populations and their surrounding environment. These effects span regions and sectors, with varying impacts, some of which are irreversible. The changing climate, accompanied by an increasing frequency of EWEs, necessitates assessment of climate vulnerability as an important applied instrument to identify populations and systems at risk and guide decision-makers in prioritising targeted interventions. Africa exhibits considerable climatic variability and is particularly susceptible to the impacts of climate change. This review aims to identify key concepts and metrics previously used to define climate vulnerability in Africa facilitating a regional understanding of approaches across various sectors that can be adopted to understand the gaps and limitations as a basis to improve future methods. We searched literature from 1st January 2003 to 31st December 2023, restricted to publications in English. We analysed the extracted data using both descriptive and thematic approaches, consistent with established scoping review frameworks (Arksey & O'Malley, 2005). Specifically, we used descriptive statistics to summarise study characteristics (e.g., year, location, and type of method) and thematic analysis to identify approaches and frameworks used to assess climate vulnerability in Africa. We retrieved 94 articles in the review. Most studies were conducted in South Africa (14/94, 15%) and Ethiopia (16/94, 17%). Vulnerability assessments were predominantly conducted in the agriculture (29/94, 31%) and environmental science (30/94, 32%) sectors. Thirteen vulnerability frameworks emerged, with the majority associated with the Intergovernmental Panel on Climate Change assessment report four framework. The primary vulnerability methods were the use of linear aggregation (66/94, 70%) and unbalanced weighting (39/94, 41%). Flooding and rainfall were the most studied climatic hazard and EWEs in Africa. Few studies assessed climate vulnerability in health science, despite its critical importance. Existing frameworks demonstrate growing innovation; however, their methodological rigour varies, with inadequate contextual validation of indices and models. The methodological robustness enhances the selection of models that align with the specific dynamics and context of the system being evaluated. These methods guide policymaking and resource prioritization, by quantifying climatic vulnerability. The online version contains supplementary material available at 10.1186/s44329-025-00041-7.",environmental science
"The assessment of heavy metal pollution in aquatic environments is a complex, multifaceted process that requires a multidisciplinary approach integrating pollutant inventory, chemical and biological monitoring, source apportionment, and toxicity testing. While traditional frameworks, such as Sediment Quality Guidelines (SQGs) and Risk Assessment Codes (RAC), have provided valuable insights, they often oversimplify environmental complexities and fail to consider site-specific conditions, particularly in tropical and subtropical ecosystems. Furthermore, these frameworks typically focus on total metal concentrations without adequately addressing bioavailability, which may misrepresent actual ecological risks. This review highlights the importance of incorporating bioassay-derived endpoints, such as mortality, growth inhibition, and bioaccumulation, to enhance the ecological relevance of assessments. We identify significant research gaps, particularly in developing countries where pollution risks are exacerbated by unregulated industrial activities and inadequate waste management practices. The underutilization of emerging tools such as molecular biomarkers, transcriptomics, and biosensors, as well as the lack of region-specific case studies, further limits the accuracy of environmental risk assessments. To address these gaps, we recommend the development of regionally adapted sediment quality benchmarks, the advancement of bioassay protocols using native species, and the integration of emerging technologies. Additionally, fostering interdisciplinary collaboration across environmental science, toxicology, public health, and social sciences, as well as engaging local communities through participatory monitoring and citizen science, will be critical in improving the inclusiveness, accuracy, and impact of heavy metal pollution assessments. By advancing these approaches, we can better safeguard both ecosystem health and human well-being.",environmental science
